job_id,document_name,processing_date,line_index,amount,description,line_number,price,quantity,sku,total,unit_price
extract-01ky0wrq3g4pyk5q2apee86tbm,invoice_1,2026-07-20,0,149.9,Standard Pro Annual,1,149.9,1.0,,149.9,149.9
extract-01ky0wrqmcnqvth8y3jp6nyb4x,invoice_2,2026-07-20,0,2650.0,Replace HVAC Unit.,1,2650.0,1.0,,2650.0,2650.0
extract-01ky0wrr6ar59a37xnvg4tq2sd,invoice_3,2026-07-20,0,1400.0,Provide and install new 60 Amp 240Vac breaker and 6/2 Copper SE cable feeding new Tesla Wall connector. Install new customer supplied Tesla wall connector. Note: drywall may need to be cut to facilitate work. No drywall repairs or painting are included in this quote.,1,1400.0,1.0,,1400.0,1400.0
extract-01ky0wrr6ar59a37xnvg4tq2sd,invoice_3,2026-07-20,1,150.0,Permit and inspection fees,2,150.0,1.0,,150.0,150.0
extract-01ky0wrr6ar59a37xnvg4tq2sd,invoice_3,2026-07-20,2,0.0,"Payment Terms: by Cash or Check, All sales final. $750.00 deposit at acceptance of contract balance due upon substantial completion of work. Agreement to include conditions of agreement addendum Clarifications: It is agreed that during the performance of the work drywall will/may be cut at the discretion of the contractor, this quotation does not include any drywall or painting repair or touchup. Parking to be provided onsite for all working personnel. Work will be completed during normal hours from 8:00 AM to 5:00 PM Monday thru Friday, unless approved otherwise. No additional components will be installed outside the scope of work enclosed. All fixtures and lamps are to be furnished on-site by others. Excluded from Bid: Repairs or corrections to existing plumbing, gas, or electrical system deficiencies or code violations.",3,0.0,1.0,,0.0,0.0
extract-01ky0wrr6ar59a37xnvg4tq2sd,invoice_3,2026-07-20,3,,"Repairs to any underground utilities (such as sprinkler lines, electrical lines, cable, etc.) not located and clearly marked prior to arrival on-site. Engineered drawings Utility power consumption.",4,,,,,
extract-01ky0wrrn18qcx0hxbesy7e5e6,invoice_4,2026-07-20,0,734.27,"HD Graphite Canvas 6""x 50yds
50 yards/roll",30,734.27,1.0,110947,734.27,734.27
extract-01ky0wrrn18qcx0hxbesy7e5e6,invoice_4,2026-07-20,1,1369.0,"3M 777F RBC Belt 6""x202"" 60YF
10belts/case (±10%)",40,68.45,20.0,102044,1369.0,68.45
extract-01ky0wrrn18qcx0hxbesy7e5e6,invoice_4,2026-07-20,2,639.8,"3M 777F RBC Belt 6""x202"" 80YF
10belts/case (±10%)",50,63.98,10.0,102046,639.8,63.98
extract-01ky0wrs54z0es0bm1f2sa38hx,invoice_5,2026-07-20,0,271.0,Suite 2009,1,271.0,1.0,,271.0,271.0
extract-01ky0wrs54z0es0bm1f2sa38hx,invoice_5,2026-07-20,1,75.0,Suite 2009 Internet Fee,2,75.0,1.0,,75.0,75.0
extract-01ky0wrsn4kq73v5bn15k9b9mq,invoice_6,2026-07-20,0,60.0,Nike Air Zoom Vapor Pro 2 (W) (Sundial),001,60.0,1.0,JIVPY4-YEL-10,60.0,60.0
extract-01ky0wrsn4kq73v5bn15k9b9mq,invoice_6,2026-07-20,1,0.0,2-DAY AIR,002,0.0,1.0,XBLUE,0.0,0.0
extract-01ky0wrsn4kq73v5bn15k9b9mq,invoice_6,2026-07-20,2,0.0,,003,0.0,1.0,XPULL,0.0,0.0
extract-01ky0wrt4gqd873aq40hc5qkq2,invoice_7,2026-07-20,0,48304.24,"OnePlus 11 5G 128 GB, 8 GB Ram, Eternal Green, Mobile Phone SNo/IMEI: 865111062487193,865111062487193",1,48304.24,1.0,493665043,56999.0,48304.24
extract-01ky0wrtkw1231gehha507mwbg,invoice_8,2026-07-20,0,42.0,"Selarid Feline 5-15lb Revolution Ge* ntents of one tube (follow label directions for administration technique) to e monthly to prevent fleas, roundworms, hookworms, heartworms, and . Wait at least 2 hours after application for bathing.",1,21.0,2.0,Selarid Feline 5-15lb Revolution Generic,42.0,21.0
extract-01ky0wrtkw1231gehha507mwbg,invoice_8,2026-07-20,1,45.0,HCP Combo Vaccine (1 Year) vaccine was given under the skin of the right front leg.,2,45.0,1.0,HCP Combo Vaccine (1 Year),45.0,45.0
extract-01ky0wrtkw1231gehha507mwbg,invoice_8,2026-07-20,2,0.0,Technician Appointment,3,0.0,1.0,,0.0,0.0
extract-01ky0wrv487hp1wqgkrvm3yn69,invoice_9,2026-07-20,0,10.0,Freshcaller Phone Credits,1,1.0,10.0,,10.0,1.0
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,0,322.0,Room Chrg - Premium Retail,1,322.0,1.0,,322.0,322.0
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,1,4.0,City/Local Tax,2,4.0,1.0,,4.0,4.0
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,2,38.8,Occupancy/Tourism,3,38.8,1.0,,38.8,38.8
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,3,322.0,Room Chrg - Premium Retail,4,322.0,1.0,,322.0,322.0
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,4,4.0,City/Local Tax,5,4.0,1.0,,4.0,4.0
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,5,38.8,Occupancy/Tourism,6,38.8,1.0,,38.8,38.8
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,6,265.0,Room Chrg - Premium Retail,7,265.0,1.0,,265.0,265.0
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,7,4.0,City/Local Tax,8,4.0,1.0,,4.0,4.0
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,8,31.93,Occupancy/Tourism,9,31.93,1.0,,31.93,31.93
extract-01ky0wrvkvg62nf06gahp97btg,invoice_10,2026-07-20,9,-1030.53,Visa-8366,10,-1030.53,1.0,,-1030.53,-1030.53
extract-01ky0wrw4a3ed4y0xgf2n9sfcj,invoice_11,2026-07-20,0,1800.87,Apple iPhone 12 Pro Max 256 GB Excellent Condition,1,600.29,3.0,,1800.87,600.29
extract-01ky0wrwk88dt8t7f98g147b5k,invoice_12,2026-07-20,0,1001.23,KROPP/ANDREA KASTRUP,1,,,,,
extract-01ky0wrwk88dt8t7f98g147b5k,invoice_12,2026-07-20,1,188.75,"Taxes, fees and other surcharges",1.1,,,,,
extract-01ky0wrwk88dt8t7f98g147b5k,invoice_12,2026-07-20,2,100.0,"Seat reservation 34A, 36A",1.2,,,,,
extract-01ky0wrwk88dt8t7f98g147b5k,invoice_12,2026-07-20,3,1001.23,KROPP/KARL ROBERT,2,,,,,
extract-01ky0wrwk88dt8t7f98g147b5k,invoice_12,2026-07-20,4,188.75,"Taxes, fees and other surcharges",2.1,,,,,
extract-01ky0wrwk88dt8t7f98g147b5k,invoice_12,2026-07-20,5,100.0,"Seat reservation 34C, 36C",2.2,,,,,
extract-01ky0wrwk88dt8t7f98g147b5k,invoice_12,2026-07-20,6,188.75,US USD 22.90 XF USD 4.50 AY USD 5.60 XF USD 4.50 DE EUR 11.86 RA EUR 27.11 WP EUR 19.44 WQ EUR 5.00 DE EUR 11.86 RA EUR 27. 11 US USD 22.90 XA USD 3.71 XY USD 7.00 YC USD 7.20,"1, 2",,,,188.75,
extract-01ky0wrx20cd39hya7tpxr5dkv,invoice_13,2026-07-20,0,5102920.0,ALUMINIUM SCRAPS,1,193.0,26440.0,7602,5102920.0,193.0
extract-01ky0wrx20cd39hya7tpxr5dkv,invoice_13,2026-07-20,1,918525.6,IGST @ 18%,2,,,,918525.6,
extract-01ky0wrx20cd39hya7tpxr5dkv,invoice_13,2026-07-20,2,0.4,ROUND OFF,3,,,,0.4,
extract-01ky0wrxgzn9rkry22gxb7x556,invoice_14,2026-07-20,0,3.66,"Dunlop Nylon Max Grip Jazz III Players Pack - 6-piece plectrum set. Colour: Red, gauge: 1,38mm",001.00,3.66,1.0,242900,3.66,3.66
extract-01ky0wrxgzn9rkry22gxb7x556,invoice_14,2026-07-20,1,4.8,"Dunlop Tortex standard picks - 0.88mm, 12-pack.",002.00,4.8,1.0,151423,4.8,4.8
extract-01ky0wrxgzn9rkry22gxb7x556,invoice_14,2026-07-20,2,47.15,"Fender Vintage Bass Bridge, Incl screws, dimension width 8cm, lenght 4cm, stringspacing 2cm",003.00,47.15,1.0,119582,47.15,47.15
extract-01ky0wrxgzn9rkry22gxb7x556,invoice_14,2026-07-20,3,13.58,"Electro Harmonix 24DC-100 EU AC power supply, Original AC power supply matches Deluxe Memory Man, Bass/Micro Synth, Q-Tron, Q-Tron+, Stereo Polychorus, Worm, Deluxe Electric Mistress, Stereo Memoroy Man, Stereo Polyphase, XO Deluxe Memory Man, XO Q-Tron+",004.00,13.58,1.0,180181,13.58,13.58
extract-01ky0wrxgzn9rkry22gxb7x556,invoice_14,2026-07-20,4,8.05,"the sssnake DD1015, Minijack Mono - Minijack Mono Patchkabel, Length 15cm, 6 pcs. per Set",005.00,8.05,1.0,378874,8.05,8.05
extract-01ky0wry1yyzwkwhqgqzqqkmb5,invoice_15,2026-07-20,0,147.0,11% off on Bundle of Knorr Chilli Garlic Ketchup 300gm and Knorr Tomato Ketchup 300gm,1,147.0,1.0,100858625_PK-1 246231949,147.0,147.0
extract-01ky0wryks8km6rsek5av73rt9,invoice_16,2026-07-20,0,1529.94,"Lenovo ThinkPad X1 Carbon Gen 10 21CB - 180-degree hinge design - Intel Core i7 1260P / 2.1 GHz - Evo - Win 10 Pro 64-bit (includes Win 11 Pro License) - Intel Iris Xe Graphics - 16 GB RAM - 512 GB SSD TCG Opal Encryption 2, NVMe, Performance - 14"" IPS touchscreen 1920 x 1200 - 802.11a/b/g/n/ac/ax (Wi-Fi 6E) - deep black paint - kbd: US - with 3 Years Lenovo Premier Support + 3 Years Lenovo Sealed Battery Add On Serial Number: PF4AJSC9",1,,1.0,,1529.94,1529.94
extract-01ky0wrz490fm7s8vjzjr27zkd,invoice_17,2026-07-20,0,2800.0,Tata Photon 3G Plan 750@7GB,1,,1.0,,2800.0,2800.0
extract-01ky0wrzn2fwsfe5063kcpnf2z,invoice_18,2026-07-20,0,144.0,Polo Bear Gang **NEW ACCOUNT**,02102007-DP,6.0,24.0,,144.0,6.0
extract-01ky0wrzn2fwsfe5063kcpnf2z,invoice_18,2026-07-20,1,126.0,Water polo stamps **NEW ACCOUNT**,02102008-DP,5.25,24.0,,126.0,5.25
extract-01ky0ws04v7y5zzz3z98pn4znz,invoice_19,2026-07-20,0,159.0,Harvest Hosts Annual Harvest Hosts + Golf + Boondockers Welcome Subscription (Billed Every 365 Days),,,,,159.0,
extract-01ky0ws0mdd3de1kew4h1xt6g1,invoice_20,2026-07-20,0,13.0,"Starter Plan (Monthly) May 26 – Jun 26, 2024",1,13.0,1.0,,13.0,13.0
extract-01ky0ws0mdd3de1kew4h1xt6g1,invoice_20,2026-07-20,1,1.14,Sales Tax,2,1.14,1.0,,1.14,1.14
extract-01ky0ws14dxxsh41kcjn0xctbn,invoice_21,2026-07-20,0,30.0,"Standard Plan Jul 1 – Aug 1, 2024",1,30.0,1.0,,30.0,30.0
extract-01ky0ws1mhmfcsgy3b6q7rmbab,invoice_22,2026-07-20,0,41.85,"Sport-Tek Competitor Tee, SKU ST350",1,13.95,3.0,ST350,41.85,13.95
extract-01ky0ws1mhmfcsgy3b6q7rmbab,invoice_22,2026-07-20,1,167.4,"Sport-Tek Competitor Tee, SKU ST350",2,13.95,12.0,ST350,167.4,13.95
extract-01ky0ws1mhmfcsgy3b6q7rmbab,invoice_22,2026-07-20,2,55.8,"Sport-Tek Competitor Tee, SKU ST350",3,13.95,4.0,ST350,55.8,13.95
extract-01ky0ws1mhmfcsgy3b6q7rmbab,invoice_22,2026-07-20,3,13.95,"Sport-Tek Competitor Tee, SKU ST350",4,13.95,1.0,ST350,13.95,13.95
extract-01ky0ws266ewb9j7xwsek0dacb,invoice_23,2026-07-20,0,45.0,Vector Seamless Dash Diagonal Parallel Line Halfton Pattern,1,45.0,1.0,GMM2C6,45.0,45.0
extract-01ky0ws2rjr4nkqjbpp7kd9919,invoice_24,2026-07-20,0,15.0,The Eatery Dinner Beer Standard VAT,1,,,,15.0,
extract-01ky0ws2rjr4nkqjbpp7kd9919,invoice_24,2026-07-20,1,4.0,City Tax 0%,2,,,,4.0,
extract-01ky0ws2rjr4nkqjbpp7kd9919,invoice_24,2026-07-20,2,162.0,Accommodation,3,,,,162.0,
extract-01ky0ws2rjr4nkqjbpp7kd9919,invoice_24,2026-07-20,3,181.0,Visa Card - CP XXXXXXXXXXXX3800,4,,,,181.0,
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,0,105.99,SYNTHETIC 33-POINT SERVICE,1,105.99,1.0,,105.99,105.99
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,1,4.5,WASTE DISPOSAL FEE,2,4.5,1.0,,4.5,4.5
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,2,1.0,CHARITABLE DONATION- $1,3,1.0,1.0,,1.0,1.0
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,3,0.0,OTHER,4,0.0,1.0,,0.0,0.0
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,4,16.99,T108 - OIL SYSTEM CLEANER 8 OZ. T111TB - ENGINE MAX TREATMENT,5,16.99,1.0,"T108, T111TB",16.99,16.99
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,5,19.99,W/PTFE 11OZ (T111) 12449 - 12MM NISSAN COPPER GASKET,6,19.99,1.0,"T111, 12449",19.99,19.99
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,6,0.0,(DP6925) (DPG-6925) PL14612 - PUROLATOR ONE PREMIUM,7,0.0,1.0,"DP6925, DPG-6925, PL14612",0.0,0.0
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,7,14.99,#PL14612 (PG4612EX)(POS4612) PAF4727 - AIR FILTER #PAF4727,8,14.99,1.0,"PL14612, PG4612EX, POS4612, PAF4727",14.99,14.99
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,8,28.67,(AF7845) (A4727) CHS530 - 5W30 SYNTH,9,28.67,1.0,"AF7845, A4727, CHS530",28.67,28.67
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,9,1.2,CHEVRON/HAVOLINE API GF5SN+/DEXOS G0.1 quarts CHS530 - 5W30 SYNTH,10,1.2,1.0,CHS530,1.2,1.2
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,10,0.0,CHEVRON/HAVOLINE API GF5SN+/DEXOS G5 quarts CHTECHRON - TECHRON FUEL SYSTEM,11,0.0,1.0,CHTECHRON,0.0,0.0
extract-01ky0ws3a4z4x3d7n88zn4z0qk,invoice_25,2026-07-20,11,16.99,CLEANER 20 OZ.,12,16.99,1.0,,16.99,16.99
extract-01ky0ws3tfh8h3zr86p84syk14,invoice_26,2026-07-20,0,20660.5,"Deck Replace (3) existing deck per sketch (600sf). Price includes: - demo and disposal of existing - new pressure treated framing, footings/piers and brackets - Trex Select Decking with picture framing (Lava Rock) - Trex hidden fastening system - Trex fascia & stair risers - Trex 50 year materials warranty - Trex 5 year labor warranty for Pro Platinum installation",1,29515.0,0.7,,20660.5,29515.0
extract-01ky0ws3tfh8h3zr86p84syk14,invoice_26,2026-07-20,1,8507.8,"Railing 118LF of American Structures aluminum picket railing, 36""h, TR200 toprail on deck, Black. This is quoted with a TOP of deck surface mount posts.",2,12154.0,0.7,,8507.8,12154.0
extract-01ky0ws3tfh8h3zr86p84syk14,invoice_26,2026-07-20,2,1872.5,"Deck Add Metal roofing panel under the upper side deck, white. Includes a gutter and downspout, color white",3,2675.0,0.7,,1872.5,2675.0
extract-01ky0ws3tfh8h3zr86p84syk14,invoice_26,2026-07-20,3,2610.0,"Lighting Dekor Dot lighting along edge of front entry deck/bridge and upper deck. 28 lights total with all wiring, timers and/or remotes.",4,2610.0,1.0,,2610.0,2610.0
extract-01ky0ws4atgpq35zyztfh8tsvk,invoice_27,2026-07-20,0,64.3,Tennis Book - High School(2),1,0.95,68.0,,64.3,0.95
extract-01ky0ws4atgpq35zyztfh8tsvk,invoice_27,2026-07-20,1,32.59,Spiro Coloring - Keywords,2,0.76,43.0,,32.59,0.76
extract-01ky0ws4atgpq35zyztfh8tsvk,invoice_27,2026-07-20,2,7.03,Spiro Coloring - Product Targeting,3,0.35,20.0,,7.03,0.35
