document_name,processing_date,parse.job_id,parse.model_version,parse.page_count,parse.output_markdown_chars,parse.range_units,parse.openapi_spec,parse.failed_pages,parse.duration_ms,parse.billing.service_tier,parse.billing.total_credits,extract.job_id,extract.model_version,extract.duration_ms,extract.doc_id,extract.range_units,extract.input_markdown_chars,extract.output_extraction_chars,extract.openapi_spec,extract.billing.service_tier,extract.billing.total_credits
invoice_1,2026-07-19,parse-01kxyvcpq6768hfy418nxv4jt6,dpt-3-pro-20260710,1,1765,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],14830,standard,1.0,extract-01kxyvdx956yhpznwmbjpd1mq1,extract-20260710,31839,parse-01kxyvcpq6768hfy418nxv4jt6,unicode_codepoints,1765,3241,https://api.ade.landing.ai/openapi.json,standard,3.6
invoice_2,2026-07-19,parse-01kxyvcqer68813wm0x18dwr79,dpt-3-pro-20260710,1,969,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],14962,standard,0.8,extract-01kxyvdxrwvn05nehtxstk9j8g,extract-20260710,32019,parse-01kxyvcqer68813wm0x18dwr79,unicode_codepoints,969,3257,https://api.ade.landing.ai/openapi.json,standard,3.5
invoice_3,2026-07-19,parse-01kxyvcr87v7z1e66nw8bzh3r6,dpt-3-pro-20260710,1,2387,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],14031,standard,1.1,extract-01kxyvdy9bjy0djb9a3746e93a,extract-20260710,30755,parse-01kxyvcr87v7z1e66nw8bzh3r6,unicode_codepoints,2387,7387,https://api.ade.landing.ai/openapi.json,standard,7.9
invoice_4,2026-07-19,parse-01kxyvcs28nbr4aezza0vebm61,dpt-3-pro-20260710,1,2297,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],15051,standard,1.1,extract-01kxyvdyt1wg5psg8hb068gag7,extract-20260710,28428,parse-01kxyvcs28nbr4aezza0vebm61,unicode_codepoints,2297,4987,https://api.ade.landing.ai/openapi.json,standard,5.5
invoice_5,2026-07-19,parse-01kxyvcssf475b7qdt5k0f9tj8,dpt-3-pro-20260710,1,1016,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],14564,standard,0.8,extract-01kxyvdz9sagm55t62s6wh6sxg,extract-20260710,28241,parse-01kxyvcssf475b7qdt5k0f9tj8,unicode_codepoints,1016,3716,https://api.ade.landing.ai/openapi.json,standard,4.0
invoice_6,2026-07-19,parse-01kxyvctd8efserw6f9tcwe494,dpt-3-pro-20260710,1,1714,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],13695,standard,1.0,extract-01kxyvdzry0vkv71kvwwscynv4,extract-20260710,29867,parse-01kxyvctd8efserw6f9tcwe494,unicode_codepoints,1714,4318,https://api.ade.landing.ai/openapi.json,standard,4.7
invoice_7,2026-07-19,parse-01kxyvcvgf88dkd4800w4smbcx,dpt-3-pro-20260710,1,2943,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],17268,standard,1.3,extract-01kxyve082tn9fk2eznz3w8edz,extract-20260710,31225,parse-01kxyvcvgf88dkd4800w4smbcx,unicode_codepoints,2943,3728,https://api.ade.landing.ai/openapi.json,standard,4.4
invoice_8,2026-07-19,parse-01kxyvcw2xhxj4ht1v9151hq9h,dpt-3-pro-20260710,2,3743,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],14825,standard,2.0,extract-01kxyve0qkvaqq6rs255pa67n2,extract-20260710,31545,parse-01kxyvcw2xhxj4ht1v9151hq9h,unicode_codepoints,3743,5055,https://api.ade.landing.ai/openapi.json,standard,5.9
invoice_9,2026-07-19,parse-01kxyvcwrcwb4ntk3vshb8q5kb,dpt-3-pro-20260710,1,1645,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],17346,standard,0.9,extract-01kxyve181k52zrwnjm6ycf18j,extract-20260710,27849,parse-01kxyvcwrcwb4ntk3vshb8q5kb,unicode_codepoints,1645,3283,https://api.ade.landing.ai/openapi.json,standard,3.7
invoice_10,2026-07-19,parse-01kxyvcxcfme0tftn3nvxpm8g3,dpt-3-pro-20260710,2,3293,unicode_codepoints,https://api.ade.landing.ai/openapi.json,[],15309,standard,1.9,extract-01kxyve1qvydqbfm1br83mte5w,extract-20260710,30635,parse-01kxyvcxcfme0tftn3nvxpm8g3,unicode_codepoints,3293,8289,https://api.ade.landing.ai/openapi.json,standard,9.0
