DOCUMENT_NAME,chunk_id,chunk_sequence_number,chunk_type,chunk_content_raw,chunk_content,chunk_text_length,chunk_word_count,page,box_l,box_t,box_r,box_b,prev_chunk_id,next_chunk_id,chunk_image_path,processed_at,ade_version,model_version
CT_Study_of_the_Common_Cold.pdf,7ad15d34-a692-4b6e-a90f-9ef551ace88c,0,marginalia,"<a id='7ad15d34-a692-4b6e-a90f-9ef551ace88c'></a>

Vol. 330 No. 1",Vol. 330 No. 1,14,4,0,0.091180176,0.053276338,0.193738043,0.070988052,,c65dd657-f90d-4078-bbfa-be666a566965,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/marginalia.7ad15d34-a692-4b6e-a90f-9ef551ace88c.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,c65dd657-f90d-4078-bbfa-be666a566965,1,text,"<a id='c65dd657-f90d-4078-bbfa-be666a566965'></a>

COMPUTED TOMOGRAPHIC STUDY OF THE COMMON COLD --- GWALTNEY ET AL.",COMPUTED TOMOGRAPHIC STUDY OF THE COMMON COLD --- GWALTNEY ET AL.,65,11,0,0.239287972,0.053899296,0.836181998,0.070930913,7ad15d34-a692-4b6e-a90f-9ef551ace88c,826f65f5-5616-4987-93b3-86fd00b51e3f,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.c65dd657-f90d-4078-bbfa-be666a566965.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,826f65f5-5616-4987-93b3-86fd00b51e3f,2,marginalia,"<a id='826f65f5-5616-4987-93b3-86fd00b51e3f'></a>

25",25,2,1,0,0.882341266,0.055556003,0.903079748,0.070017904,c65dd657-f90d-4078-bbfa-be666a566965,08541807-866c-4dc0-a302-f801e4beb7d6,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/marginalia.826f65f5-5616-4987-93b3-86fd00b51e3f.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,08541807-866c-4dc0-a302-f801e4beb7d6,3,text,"<a id='08541807-866c-4dc0-a302-f801e4beb7d6'></a>

COMPUTED TOMOGRAPHIC STUDY OF THE COMMON COLD
JACK M. GWALTNEY, JR., M.D., C. DOUGLAS PHILLIPS, M.D., R. DAVID MILLER, B.S.,
AND DONALD K. RIKER, PH.D.","COMPUTED TOMOGRAPHIC STUDY OF THE COMMON COLD
JACK M. GWALTNEY, JR., M.D., C. DOUGLAS PHILLIPS, M.D., R. DAVID MILLER, B.S.,
AND DONALD K. RIKER, PH.D.",151,25,0,0.176821023,0.08751753,0.816974521,0.143648446,826f65f5-5616-4987-93b3-86fd00b51e3f,ae393949-a4f2-4448-ba6f-7aa27d2329d0,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.08541807-866c-4dc0-a302-f801e4beb7d6.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,ae393949-a4f2-4448-ba6f-7aa27d2329d0,4,text,"<a id='ae393949-a4f2-4448-ba6f-7aa27d2329d0'></a>

**Abstract** *Background.* Colds are common, but the abnormalities they produce in the nasal passages and sinus cavities have not been well defined.","**Abstract** *Background.* Colds are common, but the abnormalities they produce in the nasal passages and sinus cavities have not been well defined.",148,22,0,0.09062922,0.150501713,0.488761544,0.190271452,08541807-866c-4dc0-a302-f801e4beb7d6,f8b5604d-2a9b-4b9c-a89d-96bb44f6b7bc,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.ae393949-a4f2-4448-ba6f-7aa27d2329d0.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,f8b5604d-2a9b-4b9c-a89d-96bb44f6b7bc,5,text,"<a id='f8b5604d-2a9b-4b9c-a89d-96bb44f6b7bc'></a>

**Methods.** We studied healthy adult volunteers with self-diagnosed colds of 48 to 96 hours' duration and obtained the following data: information on symptoms, computed tomographic (CT) studies of the nasal passages and sinuses, mucosal-transport times, measures of nasal-airway resistance, and viral-culture studies. Thirty-one subjects (mean age, 24 years) had complete evaluations, including CT scans, which were read without knowledge of the clinical data. An additional 79 subjects underwent the same evaluations, except the CT scans.","**Methods.** We studied healthy adult volunteers with self-diagnosed colds of 48 to 96 hours' duration and obtained the following data: information on symptoms, computed tomographic (CT) studies of the nasal passages and sinuses, mucosal-transport times, measures of nasal-airway resistance, and viral-culture studies. Thirty-one subjects (mean age, 24 years) had complete evaluations, including CT scans, which were read without knowledge of the clinical data. An additional 79 subjects underwent the same evaluations, except the CT scans.",540,75,0,0.091451049,0.190373391,0.487247944,0.316005737,ae393949-a4f2-4448-ba6f-7aa27d2329d0,adf4f3a3-da32-4c2e-935e-89f96bd0fe44,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.f8b5604d-2a9b-4b9c-a89d-96bb44f6b7bc.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,adf4f3a3-da32-4c2e-935e-89f96bd0fe44,6,text,"<a id='adf4f3a3-da32-4c2e-935e-89f96bd0fe44'></a>

_Results._ Of the 31 subjects with CT scans, 24 (77 percent) had occlusion of the ethmoid infundibulum; 27 (87 percent) had abnormalities of one or both maxillary-sinus cavities; 20 (65 percent) had abnormalities of the ethmoid sinuses; 10 (32 percent) had abnormalities of the frontal","_Results._ Of the 31 subjects with CT scans, 24 (77 percent) had occlusion of the ethmoid infundibulum; 27 (87 percent) had abnormalities of one or both maxillary-sinus cavities; 20 (65 percent) had abnormalities of the ethmoid sinuses; 10 (32 percent) had abnormalities of the frontal",285,45,0,0.091375485,0.316254318,0.487959027,0.384973526,f8b5604d-2a9b-4b9c-a89d-96bb44f6b7bc,9215883b-e58a-45b1-bef1-4610529a2f04,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.adf4f3a3-da32-4c2e-935e-89f96bd0fe44.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,9215883b-e58a-45b1-bef1-4610529a2f04,7,text,"<a id='9215883b-e58a-45b1-bef1-4610529a2f04'></a>

STUDIES of the common cold have relied on diag- nosis by the patients themselves-3 or diagnosis by an investigator using individual symptoms reported by the patients. 4-6 These methods have limited useful- ness for determining which anatomical areas of the upper airway are involved in the illness. There is a general assumption that in the upper airway the cold is mainly confined to the nasal passages and pharynx. Extension of the illness to the paranasal sinuses is thought to represent a complication.",STUDIES of the common cold have relied on diag- nosis by the patients themselves-3 or diagnosis by an investigator using individual symptoms reported by the patients. 4-6 These methods have limited useful- ness for determining which anatomical areas of the upper airway are involved in the illness. There is a general assumption that in the upper airway the cold is mainly confined to the nasal passages and pharynx. Extension of the illness to the paranasal sinuses is thought to represent a complication.,507,82,0,0.090969265,0.401572317,0.487864733,0.542448699,adf4f3a3-da32-4c2e-935e-89f96bd0fe44,aad366c7-1f88-42a0-b48a-33b26b2540fd,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.9215883b-e58a-45b1-bef1-4610529a2f04.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,aad366c7-1f88-42a0-b48a-33b26b2540fd,8,text,"<a id='aad366c7-1f88-42a0-b48a-33b26b2540fd'></a>

Computed tomographic (CT) scanning allows de-
tailed imaging of the nasal passages, ostiomeatal com-
plex, and paranasal sinuses. We obtained CT scans of
the nasal passages and sinuses of subjects with early,
naturally acquired colds and correlated the findings
with symptom scores, data on nasal-airway resistance,
and mucosal-transport times to determine how the
common cold involves the upper airway.","Computed tomographic (CT) scanning allows de-
tailed imaging of the nasal passages, ostiomeatal com-
plex, and paranasal sinuses. We obtained CT scans of
the nasal passages and sinuses of subjects with early,
naturally acquired colds and correlated the findings
with symptom scores, data on nasal-airway resistance,
and mucosal-transport times to determine how the
common cold involves the upper airway.",403,59,0,0.091753706,0.542681098,0.488076866,0.65437746,9215883b-e58a-45b1-bef1-4610529a2f04,d1da45df-ac26-4b55-9f15-56c284ebb29b,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.aad366c7-1f88-42a0-b48a-33b26b2540fd.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
CT_Study_of_the_Common_Cold.pdf,d1da45df-ac26-4b55-9f15-56c284ebb29b,9,text,"<a id='d1da45df-ac26-4b55-9f15-56c284ebb29b'></a>

# METHODS

## Subjects

Subjects 18 years of age or older were recruited by solicitations for volunteers with a ""fresh common cold."" Volunteers were screened by telephone for eligibility in a way designed to mask the criteria for enrollment in the study. These criteria included good health other than having the common cold; duration of symptoms of at least 48 hours but less than 96 hours; no active allergic rhinitis or other respiratory illness; no history of recurrent or chronic sinusitis or nasal polyps; no use of cough, cold, or analgesic drugs within 8 hours before enrollment; and reported nasal or head congestion at the time of the initial visit. After 28 subjects had been enrolled, the last criterion was eliminated to allow investigation of CT findings in subjects without congestion.","# METHODS

## Subjects

Subjects 18 years of age or older were recruited by solicitations for volunteers with a ""fresh common cold."" Volunteers were screened by telephone for eligibility in a way designed to mask the criteria for enrollment in the study. These criteria included good health other than having the common cold; duration of symptoms of at least 48 hours but less than 96 hours; no active allergic rhinitis or other respiratory illness; no history of recurrent or chronic sinusitis or nasal polyps; no use of cough, cold, or analgesic drugs within 8 hours before enrollment; and reported nasal or head congestion at the time of the initial visit. After 28 subjects had been enrolled, the last criterion was eliminated to allow investigation of CT findings in subjects without congestion.",800,131,0,0.09166941,0.661340833,0.488264054,0.838385224,aad366c7-1f88-42a0-b48a-33b26b2540fd,fe14a487-f9c9-41b6-8160-dba99712c3c5,results_folder/chunk_images/CT_Study_of_the_Common_Cold/page_0/text.d1da45df-ac26-4b55-9f15-56c284ebb29b.png,2025-10-29T04:41:31.165838+00:00,0.18.3,dpt-2-20250919
